Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22µF","CP_Radial_D5.0mm_P2.50mm",55.280000,24.150000,90.000000,top
"D0","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",41.740000,43.130000,90.000000,top
"D1","LED","LED_D3.0mm_Clear",55.730000,4.875000,-90.000000,top
"D2","red","LED_D3.0mm_Clear",51.130000,4.875000,-90.000000,top
"D3","LED","LED_D3.0mm_Clear",46.530000,4.875000,-90.000000,top
"D4","LED","LED_D3.0mm_Clear",41.930000,4.875000,-90.000000,top
"D5","LED","LED_D3.0mm_Clear",37.330000,4.875000,-90.000000,top
"D6","LED","LED_D3.0mm_Clear",32.730000,4.875000,-90.000000,top
"D7","LED","LED_D3.0mm_Clear",28.130000,4.875000,-90.000000,top
"D8","LED","LED_D3.0mm_Clear",23.530000,4.875000,-90.000000,top
"D9","LED","LED_D3.0mm_Clear",18.930000,4.875000,-90.000000,top
"D10","LED","LED_D3.0mm_Clear",14.330000,4.875000,-90.000000,top
"J0","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",7.825000,53.740000,90.000000,top
"J1","AudioPlug","Jack_3.5mm_Lumberg_1503_07_Horizontal",50.742500,58.952500,0.000000,top
"J2","Conn_Coaxial","BNC_TEConnectivity_1478035_Horizontal",26.080000,57.645000,0.000000,top
"J3","Conn_01x03_Female","PinHeader_1x03_P1.27mm_Vertical",47.897500,44.512500,-90.000000,top
"R1","330Ω","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",57.142500,33.022500,180.000000,top
"RV1","4,7kΩ","Potentiometer_Bourns_3266Y_Vertical",39.205000,39.185000,180.000000,top
"RV2","4,7kΩ","Potentiometer_Bourns_3266Y_Vertical",49.487500,39.158000,180.000000,top
"SW1","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",14.412500,59.352500,180.000000,top
"SW2","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",45.792500,59.130000,180.000000,top
"SW3","SW_DIP_x02","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile",35.012500,44.312500,-90.000000,top
"U1","LM3914N","DIP-18_W7.62mm_Socket",50.352500,27.012500,-90.000000,top
